"zipcode1","prop_any_exercise"
"98101",0.857142857142857
"98102",1
"98103",0.911392405063291
"98104",1
"98105",0.880952380952381
"98106",0.846153846153846
"98107",0.861111111111111
"98108",0.857142857142857
"98109",0.846153846153846
"98112",0.886363636363636
"98115",0.92156862745098
"98116",0.897435897435897
"98117",0.915254237288136
"98118",0.857142857142857
"98119",0.833333333333333
"98121",0.888888888888889
"98122",0.941176470588235
"98125",0.939393939393939
"98126",0.92
"98133",0.851851851851852
"98134",1
"98136",1
"98144",0.84375
"98146",0.806451612903226
"98177",0.947368421052632
"98178",0.78125
"98195",1
"98199",0.833333333333333
